Event	ID	Name			Wwise Object Path	Notes
	915953510	TTGLFullBuffPlay			\Default Work Unit\TTGLFullBuffPlay	
	982823378	TTGLGenericHit			\Default Work Unit\TTGLGenericHit	
	1143564835	TTGLLagannImpactFire			\Default Work Unit\TTGLLagannImpactFire	
	1205184498	TTGLCombineMusicPlay			\Default Work Unit\TTGLCombineMusicPlay	
	1430010911	TTGLCombine			\Default Work Unit\TTGLCombine	
	1579956085	TTGLCombineMusicResume			\Default Work Unit\TTGLCombineMusicResume	
	1798194172	TTGLDrillRushHit			\Default Work Unit\TTGLDrillRushHit	
	2041125297	TTGLFullBuffResume			\Default Work Unit\TTGLFullBuffResume	
	2382536720	TTGLGigaDrillBreak			\Default Work Unit\TTGLGigaDrillBreak	
	2535839766	TTGLFullBuffPause			\Default Work Unit\TTGLFullBuffPause	
	2725378136	TTGLFullBuffStop			\Default Work Unit\TTGLFullBuffStop	
	2894571872	TTGLEyeCatch			\Default Work Unit\TTGLEyeCatch	
	2916845164	TTGLCombineMusicStop			\Default Work Unit\TTGLCombineMusicStop	
	3302445697	TTGLTokoRifleFire			\Default Work Unit\TTGLTokoRifleFire	
	3489222946	TTGLCombineMusicPause			\Default Work Unit\TTGLCombineMusicPause	
	3988314445	TTGLTokoRifleCrit			\Default Work Unit\TTGLTokoRifleCrit	

Game Parameter	ID	Name			Wwise Object Path	Notes
	3673881719	Volume_SFX			\Default Work Unit\Volume_SFX	
	3729143042	Volume_MSX			\Default Work Unit\Volume_MSX	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	13922742	TTGLTokoRifle3	K:\OldDocuments\ror2-mODS\RoR2-TTGL-Mod\Wwise\Risk of Rain 2_WwiseProject\.cache\Windows\SFX\TTGLTokoRifle3_C214D156.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\SFX Mixer\TTGLTokoRifleFire\TTGLTokoRifle3		15161
	19168513	TTGLHit4	K:\OldDocuments\ror2-mODS\RoR2-TTGL-Mod\Wwise\Risk of Rain 2_WwiseProject\.cache\Windows\SFX\TTGLHit4_C214D156.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\SFX Mixer\TTGLTokoRifleCrit\TTGLHit4		15275
	50357662	TTGLHit3	K:\OldDocuments\ror2-mODS\RoR2-TTGL-Mod\Wwise\Risk of Rain 2_WwiseProject\.cache\Windows\SFX\TTGLHit3_C214D156.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\SFX Mixer\TTGLTokoRifleCrit\TTGLHit3		10104
	111320466	TTGLLagannDrill	K:\OldDocuments\ror2-mODS\RoR2-TTGL-Mod\Wwise\Risk of Rain 2_WwiseProject\.cache\Windows\SFX\TTGLLagannDrill4_C214D156.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\SFX Mixer\TTGLLagannDrill		7193
	116000516	TTGLTokoRifle1	K:\OldDocuments\ror2-mODS\RoR2-TTGL-Mod\Wwise\Risk of Rain 2_WwiseProject\.cache\Windows\SFX\TTGLTokoRifle1_C214D156.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\SFX Mixer\TTGLTokoRifleFire\TTGLTokoRifle1		17393
	263363224	TTGLCombine	K:\OldDocuments\ror2-mODS\RoR2-TTGL-Mod\Wwise\Risk of Rain 2_WwiseProject\.cache\Windows\SFX\TTGLCombine_C214D156.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\SFX Mixer\TTGLCombine		179653
	307782632	TTGLEyeCatch2	K:\OldDocuments\ror2-mODS\RoR2-TTGL-Mod\Wwise\Risk of Rain 2_WwiseProject\.cache\Windows\SFX\TTGLEyeCatch2_8E324C96.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\Music Mixer\TTGLEyeCatch\TTGLEyeCatch2		88927
	504928985	TTGLLagannImpact	K:\OldDocuments\ror2-mODS\RoR2-TTGL-Mod\Wwise\Risk of Rain 2_WwiseProject\.cache\Windows\SFX\TTGLLagannImpact_C214D156.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\SFX Mixer\TTGLLagannImpact		18446
	525583956	TTGLEyeCatch1	K:\OldDocuments\ror2-mODS\RoR2-TTGL-Mod\Wwise\Risk of Rain 2_WwiseProject\.cache\Windows\SFX\TTGLEyeCatch1_8E324C96.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\Music Mixer\TTGLEyeCatch\TTGLEyeCatch1		80453
	577117430	TTGLGigaDrillBreak	K:\OldDocuments\ror2-mODS\RoR2-TTGL-Mod\Wwise\Risk of Rain 2_WwiseProject\.cache\Windows\SFX\TTGLGigaDrillBreak_C214D156.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\SFX Mixer\TTGLGigaDrillBreak		241609
	715130299	TTGLMusic3	K:\OldDocuments\ror2-mODS\RoR2-TTGL-Mod\Wwise\Risk of Rain 2_WwiseProject\.cache\Windows\SFX\TTGLMusic3_C214D156.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\Music Mixer\TTGLCombineMusic\TTGLMusic3		3565254
	744259463	TTGLHit	K:\OldDocuments\ror2-mODS\RoR2-TTGL-Mod\Wwise\Risk of Rain 2_WwiseProject\.cache\Windows\SFX\TTGLHit1_C214D156.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\SFX Mixer\TTGLHit		5069
	767967847	TTGLEyeCatch3	K:\OldDocuments\ror2-mODS\RoR2-TTGL-Mod\Wwise\Risk of Rain 2_WwiseProject\.cache\Windows\SFX\TTGLEyeCatch3_8E324C96.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\Music Mixer\TTGLEyeCatch\TTGLEyeCatch3		91932
	802878450	TTGLEyeCatch4	K:\OldDocuments\ror2-mODS\RoR2-TTGL-Mod\Wwise\Risk of Rain 2_WwiseProject\.cache\Windows\SFX\TTGLEyeCatch4_8E324C96.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\Music Mixer\TTGLEyeCatch\TTGLEyeCatch4		111429
	817154675	TTGLTokoRifle4	K:\OldDocuments\ror2-mODS\RoR2-TTGL-Mod\Wwise\Risk of Rain 2_WwiseProject\.cache\Windows\SFX\TTGLTokoRifle4_C214D156.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\SFX Mixer\TTGLTokoRifleFire\TTGLTokoRifle4		14638
	851599504	TTGLMusic2	K:\OldDocuments\ror2-mODS\RoR2-TTGL-Mod\Wwise\Risk of Rain 2_WwiseProject\.cache\Windows\SFX\TTGLMusic2_C214D156.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\Music Mixer\TTGLPowerupMusic\TTGLMusic2		1625988
	873677661	TTGLMusic1	K:\OldDocuments\ror2-mODS\RoR2-TTGL-Mod\Wwise\Risk of Rain 2_WwiseProject\.cache\Windows\SFX\TTGLMusic1_C214D156.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\Music Mixer\TTGLPowerupMusic\TTGLMusic1		1634174
